id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2,location/display_address/3,transactions/0,categories/2/alias,categories/2/title
gAGWzDp44ghVq-8LuLbkVg,matamoros-tacos-austin,Matamoros Tacos,https://s3-media1.fl.yelpcdn.com/bphoto/A4KIJImcRapQ_eAb6w_WUQ/o.jpg,false,https://www.yelp.com/biz/matamoros-tacos-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,45,mexican,Mexican,foodstands,Food Stands,4.5,30.377391512715,-97.6893381569303,$,10810 N Lamar Blvd,,,Austin,78753,US,TX,10810 N Lamar Blvd,"Austin, TX 78753",+15129977822,(512) 997-7822,256.83320871443755,,,,,
7U6taCZqDyz-4kcpKt-OAg,taqueria-su-destino-austin,Taqueria Su Destino,https://s3-media1.fl.yelpcdn.com/bphoto/ptGi2ZYH52idPSebTYVPNg/o.jpg,false,https://www.yelp.com/biz/taqueria-su-destino-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,foodtrucks,Food Trucks,mexican,Mexican,5,30.3757798992111,-97.6902999356389,,10600 N Lamar Blvd,,,Austin,78753,US,TX,10600 N Lamar Blvd,"Austin, TX 78753",+14049556734,(404) 955-6734,72.92240788355895,,,,,
I0HNlSG2IAv1NeflOI2xsQ,short-n-sweet-austin,Short 'N Sweet,https://s3-media3.fl.yelpcdn.com/bphoto/CU8mjc15J8OsfqWWot8igQ/o.jpg,false,https://www.yelp.com/biz/short-n-sweet-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,212,coffee,Coffee & Tea,vietnamese,Vietnamese,4,30.378073069514,-97.6872885209015,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",+15128730893,(512) 873-0893,417.7051436111399,,,,,
k8zC6EKsEA_zPMERW4dnhQ,maudies-north-lamar-austin-2,Maudie's North Lamar,https://s3-media2.fl.yelpcdn.com/bphoto/ZtF2CvONJoAH0umX7dy1bw/o.jpg,false,https://www.yelp.com/biz/maudies-north-lamar-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,266,tex-mex,Tex-Mex,diners,Diners,3.5,30.3711140788907,-97.6914373913583,$,10205 N Lamar,,,Austin,78753,US,TX,10205 N Lamar,"Austin, TX 78753",+15128320900,(512) 832-0900,469.6987113628136,,,,tacos,Tacos
tzDF3otfex5z7SWwFsY-XQ,lilys-sandwich-austin,Lily's Sandwich,https://s3-media1.fl.yelpcdn.com/bphoto/j4ij9ZiYKe_VC-xiho8z5w/o.jpg,false,https://www.yelp.com/biz/lilys-sandwich-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,122,vietnamese,Vietnamese,,,3.5,30.3779125213623,-97.6861953735352,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",+15129739479,(512) 973-9479,441.76434811973155,,,,,
mgjeOZOXCAELapNzx7_96w,fresh-tofu-austin,Fresh Tofu,https://s3-media2.fl.yelpcdn.com/bphoto/Tg5c1Estlh3Qcl_4b8Oo7w/o.jpg,false,https://www.yelp.com/biz/fresh-tofu-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,33,vietnamese,Vietnamese,,,3.5,30.37829,-97.68796,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",+15124919757,(512) 491-9757,454.6289730298596,,,,,
VwfipUylCY_9ONMdhConwA,tacos-dolores-hidalgo-austin,Tacos Dolores Hidalgo,https://s3-media2.fl.yelpcdn.com/bphoto/RvNaHFzIOO4x07Gcs_o1WQ/o.jpg,false,https://www.yelp.com/biz/tacos-dolores-hidalgo-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,tacos,Tacos,,,5,30.375112015008,-97.6898056054176,,10631 N Lamar Blvd,,,Austin,78753,US,TX,10631 N Lamar Blvd,"Austin, TX 78753",+15125145002,(512) 514-5002,23.37557434428999,,,,,
oPo6IO6AfVs9GfwHSHD5tQ,mariscos-tampico-bar-and-grill-austin,Mariscos Tampico Bar & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/NNvKeJN8Q94QGUaeuAfzBg/o.jpg,false,https://www.yelp.com/biz/mariscos-tampico-bar-and-grill-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,25,mexican,Mexican,seafood,Seafood,2.5,30.373954,-97.688828,$$,10601 N Lamar Blvd,,,Austin,78753,US,TX,10601 N Lamar Blvd,"Austin, TX 78753",+15123390900,(512) 339-0900,177.86487044705314,,,,,
N2CrS7-cImQZW4bgOS0V6w,com-chi-food-to-go-austin,Com Chi Food to Go,,false,https://www.yelp.com/biz/com-chi-food-to-go-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,chinese,Chinese,,,3,30.3779125213623,-97.6861953735352,,10901 N Lamar Blvd,Ste C311,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste C311,+15124919757,(512) 491-9757,441.76434811973155,"Austin, TX 78753",,,,
yhojJwOmfdFwlckumKvyig,flores-restaurant-austin-3,Flores Restaurant,,false,https://www.yelp.com/biz/flores-restaurant-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,restaurants,Restaurants,,,1,30.34278,-97.86362,$,1310 S,,,Austin,78733,US,TX,1310 S,"Austin, TX 78733",+15122639546,(512) 263-9546,484.22098460013103,,,,,
