id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2,transactions/0
1MIv9SKawzSitfJ0DayH6Q,hummus-among-us-austin,Hummus Among Us,https://s3-media3.fl.yelpcdn.com/bphoto/CCr2EnvQx92oOHAETkjBjg/o.jpg,false,https://www.yelp.com/biz/hummus-among-us-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,41,foodtrucks,Food Trucks,mediterranean,Mediterranean,,,5,30.2553368554128,-97.7202496549831,$$,2207 E Cesar Chavez,,,Austin,78702,US,TX,2207 E Cesar Chavez,"Austin, TX 78702",+13472847611,(347) 284-7611,164.5930248467912,,
mjNCnP7H2bCDKb3TuQCdgg,weather-up-austin,Weather Up,https://s3-media4.fl.yelpcdn.com/bphoto/BMh7-gduueklMNvfAghkxQ/o.jpg,false,https://www.yelp.com/biz/weather-up-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,282,diners,Diners,cocktailbars,Cocktail Bars,breakfast_brunch,Breakfast & Brunch,3.5,30.2573650267811,-97.7249485249197,$$,1808 E Cesar Chavez St,,,Austin,78702,US,TX,1808 E Cesar Chavez St,"Austin, TX 78702",+15125240464,(512) 524-0464,341.162627933072,,
LinZJmeh2jQxBVbqN0ixgQ,counter-culture-austin,Counter Culture,https://s3-media2.fl.yelpcdn.com/bphoto/A-9HGnyXOtg7JQLRSZkavw/o.jpg,false,https://www.yelp.com/biz/counter-culture-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,615,vegan,Vegan,,,,,4.5,30.254728,-97.717401,$$,2337 E Cesar Chavez St,,,Austin,78702,US,TX,2337 E Cesar Chavez St,"Austin, TX 78702",+15125241540,(512) 524-1540,441.1041608656967,,pickup
0wljsy6_0HIni0pooc5ozw,mr-natural-austin,Mr. Natural,https://s3-media4.fl.yelpcdn.com/bphoto/fOfPVr0xeErFtgr0i1yYbA/o.jpg,false,https://www.yelp.com/biz/mr-natural-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,303,vegetarian,Vegetarian,gluten_free,Gluten-Free,,,4,30.25696,-97.7245,$,1901 E Cesar Chavez St,,,Austin,78702,US,TX,1901 E Cesar Chavez St,"Austin, TX 78702",+15124775228,(512) 477-5228,279.5863253900786,,pickup
lD3_dT5rbdaVHCyTKB4dfg,kerlin-bbq-austin,Kerlin BBQ,https://s3-media1.fl.yelpcdn.com/bphoto/MI23JJ73hrXa9HSMEngi3w/o.jpg,false,https://www.yelp.com/biz/kerlin-bbq-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,258,bbq,Barbeque,foodtrucks,Food Trucks,foodstands,Food Stands,4.5,30.2579056948034,-97.725737653535,$$,1700 E Cesar Chavez,,,Austin,78702,US,TX,1700 E Cesar Chavez,"Austin, TX 78702",+15124125588,(512) 412-5588,435.4485689573973,,
JlNubuRovC-QIgRMdKk44Q,drinks-lounge-austin,Drinks Lounge,https://s3-media3.fl.yelpcdn.com/bphoto/LjW5VFphWbDySyMZqjp-vg/o.jpg,false,https://www.yelp.com/biz/drinks-lounge-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,87,lounges,Lounges,newamerican,American (New),,,4,30.25652,-97.72322,$,2001 E Cesar Chavez St,,,Austin,78702,US,TX,2001 E Cesar Chavez St,"Austin, TX 78702",+15125240130,(512) 524-0130,153.97705845701458,,
WEd80SSUBoeDsYOzXs4dTw,ranch-hand-organic-bowls-austin,Ranch Hand Organic Bowls,https://s3-media4.fl.yelpcdn.com/bphoto/QGRlkNhP0ecQJfGV8csWww/o.jpg,false,https://www.yelp.com/biz/ranch-hand-organic-bowls-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,23,foodtrucks,Food Trucks,newamerican,American (New),catering,Caterers,4.5,30.2572433,-97.7243365,$$,1900 E Cesar Chavez,,,Austin,78702,US,TX,1900 E Cesar Chavez,"Austin, TX 78702",+18478945348,(847) 894-5348,282.1386289515519,,
ZKX9dneKu9Q2APybTNT-1Q,raw-goods-austin-3,Raw Goods,https://s3-media4.fl.yelpcdn.com/bphoto/C9Y3rO4c9xIml7frCFx2dA/o.jpg,false,https://www.yelp.com/biz/raw-goods-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,foodtrucks,Food Trucks,raw_food,Live/Raw Food,,,5,30.2571468353271,-97.7239227294922,,1906 E Cesar Chavez St,,,Austin,78702,US,TX,1906 E Cesar Chavez St,"Austin, TX 78702",,,241.49429365829766,,pickup
XqNgfxyXP3kz8t3iG8ehZA,the-vegan-nom-austin,The Vegan Nom,https://s3-media1.fl.yelpcdn.com/bphoto/xrwT3UWo_-GHx2l2T24LNQ/o.jpg,false,https://www.yelp.com/biz/the-vegan-nom-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,328,vegan,Vegan,foodtrucks,Food Trucks,,,4.5,30.255168,-97.718217,$,2324 E Cesar Chavez,,,Austin,78702,US,TX,2324 E Cesar Chavez,"Austin, TX 78702",+15124973147,(512) 497-3147,350.9720516140703,,
JmYpdmtF5MlHCnjacKOOFg,super-burrito-east-austin-2,Super Burrito East,https://s3-media3.fl.yelpcdn.com/bphoto/3eYCBcu0daQtJ7fLkwl0ag/o.jpg,false,https://www.yelp.com/biz/super-burrito-east-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,13,foodtrucks,Food Trucks,mexican,Mexican,,,4,30.2571468353271,-97.7239227294922,$,1906 E Cesar Chavez St,,,Austin,78702,US,TX,1906 E Cesar Chavez St,"Austin, TX 78702",+15127652699,(512) 765-2699,241.49429365829766,,pickup
yZ0Ni4NfAFpCX2aKyyyQFw,eastside-pita-austin-2,Eastside Pita,https://s3-media4.fl.yelpcdn.com/bphoto/p2V5zk-FxXnZaNrtXKn3AA/o.jpg,false,https://www.yelp.com/biz/eastside-pita-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,4,falafel,Falafel,foodtrucks,Food Trucks,,,5,30.25535,-97.72023,,2207 E Cesar Chavez St,,,Austin,78702,US,TX,2207 E Cesar Chavez St,"Austin, TX 78702",+17373465383,(737) 346-5383,166.85014941629396,,
hwjVIkMGkTo-CBpl4RLgvg,head-hanchos-grill-austin,Head Hanchos Grill,https://s3-media4.fl.yelpcdn.com/bphoto/q7TPB0D0i1bC4RL6vdoWVw/o.jpg,false,https://www.yelp.com/biz/head-hanchos-grill-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,6,tradamerican,American (Traditional),foodstands,Food Stands,,,4,30.2552738189697,-97.7200927734375,$,2209 E Cesar Chavez St,,,Austin,78702,US,TX,2209 E Cesar Chavez St,"Austin, TX 78702",+15125016862,(512) 501-6862,181.36189506750864,,
XCGRl0FKT_6PW4mJHAtuWA,short-stop-austin-2,Short Stop,https://s3-media2.fl.yelpcdn.com/bphoto/yyCokS_2KhdJmStW_Do3HA/o.jpg,false,https://www.yelp.com/biz/short-stop-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,10,burgers,Burgers,,,,,3.5,30.26113,-97.71726,$,2217 E 7th St,,,Austin,78702,US,TX,2217 E 7th St,"Austin, TX 78702",+15124690607,(512) 469-0607,699.5205578065496,,
Nx38FDvoGOUVcS7YIPh4aQ,bomb-tacos-austin-2,Bomb Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/YhnijPFLCFXgrT4Dt6vE9Q/o.jpg,false,https://www.yelp.com/biz/bomb-tacos-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,22,mexican,Mexican,foodtrucks,Food Trucks,,,3.5,30.2554344351569,-97.717981338501,$,96 Rainey St,,Bar 96,Austin,78701,US,TX,96 Rainey St,Bar 96,+15124336604,(512) 433-6604,365.2147515616354,"Austin, TX 78701",
KaAA_RnJ8ydvpAv5tUYVRA,e-a-t-east-austin-trailer-park-and-eatery-austin,E.A.T. East Austin Trailer Park & Eatery,https://s3-media1.fl.yelpcdn.com/bphoto/V7zjodsshcANomVBkwLK_A/o.jpg,false,https://www.yelp.com/biz/e-a-t-east-austin-trailer-park-and-eatery-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,foodstands,Food Stands,,,,,1,30.25502,-97.71773,,2326 E Cesar Chavez St,,,Austin,78702,US,TX,2326 E Cesar Chavez St,"Austin, TX 78702",,,353.12596726198825,,
