id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,transactions/0,transactions/1,location/display_address/2
lD3_dT5rbdaVHCyTKB4dfg,kerlin-bbq-austin,Kerlin BBQ,https://s3-media1.fl.yelpcdn.com/bphoto/MI23JJ73hrXa9HSMEngi3w/o.jpg,false,https://www.yelp.com/biz/kerlin-bbq-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,258,bbq,Barbeque,4.5,30.2579056948034,-97.725737653535,$$,1700 E Cesar Chavez,,,Austin,78702,US,TX,1700 E Cesar Chavez,"Austin, TX 78702",+15124125588,(512) 412-5588,82.59696783545553,foodtrucks,Food Trucks,foodstands,Food Stands,,,
QE2WUvdPySHBQ7Xu41dDPA,las-cazuelas-mexican-restaurant-austin-2,Las Cazuelas Mexican Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/Lj39HqKTpZbkl2Xd-29SQQ/o.jpg,false,https://www.yelp.com/biz/las-cazuelas-mexican-restaurant-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,311,mexican,Mexican,3.5,30.2574939727783,-97.7265472412109,$,1701 E Cesar Chavez St,,,Austin,78702,US,TX,1701 E Cesar Chavez St,"Austin, TX 78702",+15124797911,(512) 479-7911,31.337089831559396,,,,,,,
mjNCnP7H2bCDKb3TuQCdgg,weather-up-austin,Weather Up,https://s3-media4.fl.yelpcdn.com/bphoto/BMh7-gduueklMNvfAghkxQ/o.jpg,false,https://www.yelp.com/biz/weather-up-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,282,diners,Diners,3.5,30.2573650267811,-97.7249485249197,$$,1808 E Cesar Chavez St,,,Austin,78702,US,TX,1808 E Cesar Chavez St,"Austin, TX 78702",+15125240464,(512) 524-0464,163.5320962753068,cocktailbars,Cocktail Bars,breakfast_brunch,Breakfast & Brunch,,,
t5lJ7FXMJDyoBYWDCsqD_w,yellow-jacket-social-club-austin,Yellow Jacket Social Club,https://s3-media3.fl.yelpcdn.com/bphoto/mMQpxzED5WTEmCMOJqE85Q/o.jpg,false,https://www.yelp.com/biz/yellow-jacket-social-club-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,360,lounges,Lounges,4,30.26159,-97.72456,$,1704 E 5th St,,,Austin,78702,US,TX,1704 E 5th St,"Austin, TX 78702",+15124809572,(512) 480-9572,473.6387414219913,newamerican,American (New),,,,,
mWDRxwPt8HgOdrNyckv99A,rollin-smoke-bbq-austin,Rollin Smoke BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/UKNeCcmAx8mP8v4z9We9Cg/o.jpg,false,https://www.yelp.com/biz/rollin-smoke-bbq-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,122,bbq,Barbeque,4.5,30.2628836718604,-97.7268981039445,$,1501 E 6th St,,,Austin,78702,US,TX,1501 E 6th St,"Austin, TX 78702",+15127055499,(512) 705-5499,568.9692952075708,foodstands,Food Stands,foodtrucks,Food Trucks,delivery,pickup,
skvuuJVurCYV6J9QcAC0SA,il-brutto-austin-2,Il Brutto,https://s3-media2.fl.yelpcdn.com/bphoto/my1Y_mL289XQGUu7wQtR4g/o.jpg,false,https://www.yelp.com/biz/il-brutto-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,61,italian,Italian,4.5,30.26245,-97.72619,$$$,1601 E 6th St,,,Austin,78702,US,TX,1601 E 6th St,"Austin, TX 78702",+15125808779,(512) 580-8779,514.8037755140645,,,,,,,
M39ntxmCL5hzfqkPN1BEcQ,antojitos-guatemala-austin-3,Antojitos Guatemala,https://s3-media4.fl.yelpcdn.com/bphoto/_PXeJVCldQZi5bfT9H7cPQ/o.jpg,false,https://www.yelp.com/biz/antojitos-guatemala-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,4,foodtrucks,Food Trucks,5,30.257682800293,-97.72705078125,,1621 E Cesar Chavez St,,,Austin,78702,US,TX,1621 E Cesar Chavez St,"Austin, TX 78702",+15123128927,(512) 312-8927,51.38143695523619,tacos,Tacos,,,,,
MD4jmHIMzUuMNmQlF-g4ow,thai-kun-at-whislers-austin,Thai Kun at Whisler's,https://s3-media1.fl.yelpcdn.com/bphoto/xCkzPQKwlWG51az7RDBXKg/o.jpg,false,https://www.yelp.com/biz/thai-kun-at-whislers-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,178,foodtrucks,Food Trucks,4,30.262006,-97.722595,$,1816 E 6th St,,,Austin,78702,US,TX,1816 E 6th St,"Austin, TX 78702",+15124078166,(512) 407-8166,606.8144557458878,thai,Thai,,,,,
lsRleM36bHBJLciEqCATIA,la-matta-austin,La Matta,https://s3-media2.fl.yelpcdn.com/bphoto/eYTBsUFUZO4L5V4RzxZAAg/o.jpg,false,https://www.yelp.com/biz/la-matta-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,26,sandwiches,Sandwiches,4,30.26222,-97.72673,$$,501 Comal St,,,Austin,78702,US,TX,501 Comal St,"Austin, TX 78702",+15125808772,(512) 580-8772,506.0816985670234,italian,Italian,wine_bars,Wine Bars,,,
0wljsy6_0HIni0pooc5ozw,mr-natural-austin,Mr. Natural,https://s3-media4.fl.yelpcdn.com/bphoto/fOfPVr0xeErFtgr0i1yYbA/o.jpg,false,https://www.yelp.com/biz/mr-natural-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,303,vegetarian,Vegetarian,4,30.25696,-97.7245,$,1901 E Cesar Chavez St,,,Austin,78702,US,TX,1901 E Cesar Chavez St,"Austin, TX 78702",+15124775228,(512) 477-5228,226.08228248258558,gluten_free,Gluten-Free,,,pickup,,
mbNRIX5ROAzeDAmCVM_xzg,via-313-pizza-austin-7,Via 313 Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/VnTtbqToT24OIeZTef8BsQ/o.jpg,false,https://www.yelp.com/biz/via-313-pizza-austin-7?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,27,pizza,Pizza,4,30.26219,-97.72305,$$,1802 E 6th St,,,Austin,78702,US,TX,1802 E 6th St,"Austin, TX 78702",+15125800999,(512) 580-0999,595.4395440076242,,,,,,,
WEd80SSUBoeDsYOzXs4dTw,ranch-hand-organic-bowls-austin,Ranch Hand Organic Bowls,https://s3-media4.fl.yelpcdn.com/bphoto/QGRlkNhP0ecQJfGV8csWww/o.jpg,false,https://www.yelp.com/biz/ranch-hand-organic-bowls-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,23,foodtrucks,Food Trucks,4.5,30.2572433,-97.7243365,$$,1900 E Cesar Chavez,,,Austin,78702,US,TX,1900 E Cesar Chavez,"Austin, TX 78702",+18478945348,(847) 894-5348,223.78553548415195,newamerican,American (New),catering,Caterers,,,
Unl62KlI0kwF8pToy7QjSA,vic-and-als-austin,Vic & Al's,https://s3-media3.fl.yelpcdn.com/bphoto/OxbnapIg7RL59iZNPzySKg/o.jpg,false,https://www.yelp.com/biz/vic-and-als-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,6,foodtrucks,Food Trucks,5,30.26224,-97.72948,,1308 E 4th St,,,Austin,78702,US,TX,1308 E 4th St,"Austin, TX 78702",+15125225880,(512) 522-5880,554.5950700502514,cajun,Cajun/Creole,,,,,
JlNubuRovC-QIgRMdKk44Q,drinks-lounge-austin,Drinks Lounge,https://s3-media3.fl.yelpcdn.com/bphoto/LjW5VFphWbDySyMZqjp-vg/o.jpg,false,https://www.yelp.com/biz/drinks-lounge-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,87,lounges,Lounges,4,30.25652,-97.72322,$,2001 E Cesar Chavez St,,,Austin,78702,US,TX,2001 E Cesar Chavez St,"Austin, TX 78702",+15125240130,(512) 524-0130,353.21297497177284,newamerican,American (New),,,,,
ZKX9dneKu9Q2APybTNT-1Q,raw-goods-austin-3,Raw Goods,https://s3-media4.fl.yelpcdn.com/bphoto/C9Y3rO4c9xIml7frCFx2dA/o.jpg,false,https://www.yelp.com/biz/raw-goods-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,foodtrucks,Food Trucks,5,30.2571468353271,-97.7239227294922,,1906 E Cesar Chavez St,,,Austin,78702,US,TX,1906 E Cesar Chavez St,"Austin, TX 78702",,,265.3188877081621,raw_food,Live/Raw Food,,,pickup,,
JmYpdmtF5MlHCnjacKOOFg,super-burrito-east-austin-2,Super Burrito East,https://s3-media3.fl.yelpcdn.com/bphoto/3eYCBcu0daQtJ7fLkwl0ag/o.jpg,false,https://www.yelp.com/biz/super-burrito-east-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,13,foodtrucks,Food Trucks,4,30.2571468353271,-97.7239227294922,$,1906 E Cesar Chavez St,,,Austin,78702,US,TX,1906 E Cesar Chavez St,"Austin, TX 78702",+15127652699,(512) 765-2699,265.3188877081621,mexican,Mexican,,,pickup,,
JTHCvKwPazLExfDs_LGl1g,los-huaraches-austin,Los Huaraches,https://s3-media1.fl.yelpcdn.com/bphoto/SKB_T_Nf-H7ifCKGe3vfww/o.jpg,false,https://www.yelp.com/biz/los-huaraches-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,20,mexican,Mexican,3.5,30.25831,-97.72757,$,1628 E Cesar Chavez St,,,Austin,78702,US,TX,1628 E Cesar Chavez St,"Austin, TX 78702",+15125241490,(512) 524-1490,109.64017009838304,,,,,,,
sPr8yu7F1PVFDiPDhTb1fg,bomb-tacos-austin-4,Bomb Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/WS_6t3bA9-2TjfJyABau3g/o.jpg,false,https://www.yelp.com/biz/bomb-tacos-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,45,mexican,Mexican,3.5,30.2625294,-97.7270584,$,500 Comal St,,The White Horse,Austin,78702,US,TX,500 Comal St,The White Horse,+15125536756,(512) 553-6756,531.0495884066916,foodtrucks,Food Trucks,,,,,"Austin, TX 78702"
ZZTAiGThsHjZOfUF0zOzHA,ciscos-restaurant-bakery-and-bar-austin,Cisco's Restaurant Bakery & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/krgUZOY_8tMJjRhBM8w-4A/o.jpg,false,https://www.yelp.com/biz/ciscos-restaurant-bakery-and-bar-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,221,breakfast_brunch,Breakfast & Brunch,3.5,30.26287,-97.72682,$,1511 E 6th St,,,Austin,78702,US,TX,1511 E 6th St,"Austin, TX 78702",+15124782420,(512) 478-2420,567.6967631209947,mexican,Mexican,,,,,
DfwyzeN03FzMqI5CEl_U2Q,leys-tacos-austin,Ley's Tacos,,false,https://www.yelp.com/biz/leys-tacos-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,mexican,Mexican,3,30.26304,-97.7265199,,Comal St Between 5th And 6th Streets,,,Austin,78702,US,TX,Comal St Between 5th And 6th Streets,"Austin, TX 78702",,,559.307491338372,,,,,,,
