id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance,categories/1/alias,categories/1/title,location/display_address/3,transactions/0,transactions/1,categories/2/alias,categories/2/title
zerPYZ-lid5CG27a1-7YMw,tc-noodle-house-austin,TC Noodle House,https://s3-media1.fl.yelpcdn.com/bphoto/lNIYnbwII2kmp7trJ3mCxg/o.jpg,false,https://www.yelp.com/biz/tc-noodle-house-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,186,noodles,Noodles,3.5,30.3791143465074,-97.6871061306884,$,10901 N Lamar Blvd,Ste B-203,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste B-203,"Austin, TX 78753",+15128738235,(512) 873-8235,75.78705900022948,,,,,,,
4YmchDfczzs0Kj_oX463iA,pho-ha-noi-cuisine-austin-4,Pho Ha Noi Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/mGmUU-WbV9bcChR3VjmMYA/o.jpg,false,https://www.yelp.com/biz/pho-ha-noi-cuisine-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,37,juicebars,Juice Bars & Smoothies,4,30.3821878959419,-97.685061729831,$,11331 N Lamar Blvd,F,,Austin,78753,US,TX,11331 N Lamar Blvd,F,"Austin, TX 78753",+15122438627,(512) 243-8627,428.36164751335735,desserts,Desserts,,,,vietnamese,Vietnamese
k69jIL6VfzuIMmED_CEAkg,chuys-austin-9,Chuy's,https://s3-media3.fl.yelpcdn.com/bphoto/WEblXecfKiWCXTh54dSBdQ/o.jpg,false,https://www.yelp.com/biz/chuys-austin-9?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,330,tex-mex,Tex-Mex,4,30.3751687,-97.6905747,$$,10520 and 10601 N Lamar Blvd,,,Austin,78753,US,TX,10520 and 10601 N Lamar Blvd,"Austin, TX 78753",,+15128363218,(512) 836-3218,517.6025768202488,mexican,Mexican,,delivery,,,
gAGWzDp44ghVq-8LuLbkVg,matamoros-tacos-austin,Matamoros Tacos,https://s3-media1.fl.yelpcdn.com/bphoto/A4KIJImcRapQ_eAb6w_WUQ/o.jpg,false,https://www.yelp.com/biz/matamoros-tacos-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,45,mexican,Mexican,4.5,30.377391512715,-97.6893381569303,$,10810 N Lamar Blvd,,,Austin,78753,US,TX,10810 N Lamar Blvd,"Austin, TX 78753",,+15129977822,(512) 997-7822,245.01624036315513,foodstands,Food Stands,,,,,
FpzMEfjhCm8Y9JjaTx5X5g,pho-dan-austin-3,Pho Dan,https://s3-media1.fl.yelpcdn.com/bphoto/6pWtc2kvKen0Jyy4sPI11A/o.jpg,false,https://www.yelp.com/biz/pho-dan-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,406,vietnamese,Vietnamese,4,30.382055738338,-97.687512756414,$,11220 N Lamar Blvd,Ste 200,,Austin,78753,US,TX,11220 N Lamar Blvd,Ste 200,"Austin, TX 78753",+15128377800,(512) 837-7800,318.9248498310198,,,,,,,
krABAHO0lvUVLFFPvd_NDw,taquito-aviles-austin,Taquito Aviles,https://s3-media2.fl.yelpcdn.com/bphoto/rXzYPjDBZY163pxgouwKMQ/o.jpg,false,https://www.yelp.com/biz/taquito-aviles-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,38,foodstands,Food Stands,4.5,30.3811396,-97.6855421,$,701 W Braker Ln,,,Austin,78758,US,TX,701 W Braker Ln,"Austin, TX 78758",,+15125142708,(512) 514-2708,311.3055957372856,mexican,Mexican,,,,,
tzDF3otfex5z7SWwFsY-XQ,lilys-sandwich-austin,Lily's Sandwich,https://s3-media1.fl.yelpcdn.com/bphoto/j4ij9ZiYKe_VC-xiho8z5w/o.jpg,false,https://www.yelp.com/biz/lilys-sandwich-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,122,vietnamese,Vietnamese,3.5,30.3779125213623,-97.6861953735352,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",,+15129739479,(512) 973-9479,142.99102662084732,,,,,,,
7U6taCZqDyz-4kcpKt-OAg,taqueria-su-destino-austin,Taqueria Su Destino,https://s3-media1.fl.yelpcdn.com/bphoto/ptGi2ZYH52idPSebTYVPNg/o.jpg,false,https://www.yelp.com/biz/taqueria-su-destino-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,foodtrucks,Food Trucks,5,30.3757798992111,-97.6902999356389,,10600 N Lamar Blvd,,,Austin,78753,US,TX,10600 N Lamar Blvd,"Austin, TX 78753",,+14049556734,(404) 955-6734,445.67251412304273,mexican,Mexican,,,,,
I0HNlSG2IAv1NeflOI2xsQ,short-n-sweet-austin,Short 'N Sweet,https://s3-media3.fl.yelpcdn.com/bphoto/CU8mjc15J8OsfqWWot8igQ/o.jpg,false,https://www.yelp.com/biz/short-n-sweet-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,213,coffee,Coffee & Tea,4,30.378073069514,-97.6872885209015,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",,+15128730893,(512) 873-0893,138.52085263506936,vietnamese,Vietnamese,,,,,
mgjeOZOXCAELapNzx7_96w,fresh-tofu-austin,Fresh Tofu,https://s3-media2.fl.yelpcdn.com/bphoto/Tg5c1Estlh3Qcl_4b8Oo7w/o.jpg,false,https://www.yelp.com/biz/fresh-tofu-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,32,vietnamese,Vietnamese,3.5,30.37829,-97.68796,$,10901 N Lamar Blvd,,,Austin,78753,US,TX,10901 N Lamar Blvd,"Austin, TX 78753",,+15124919757,(512) 491-9757,252.37629154451648,,,,,,,
VwfipUylCY_9ONMdhConwA,tacos-dolores-hidalgo-austin,Tacos Dolores Hidalgo,https://s3-media2.fl.yelpcdn.com/bphoto/RvNaHFzIOO4x07Gcs_o1WQ/o.jpg,false,https://www.yelp.com/biz/tacos-dolores-hidalgo-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,tacos,Tacos,5,30.375112015008,-97.6898056054176,,10631 N Lamar Blvd,,,Austin,78753,US,TX,10631 N Lamar Blvd,"Austin, TX 78753",,+15125145002,(512) 514-5002,490.95654219880765,,,,,,,
N2CrS7-cImQZW4bgOS0V6w,com-chi-food-to-go-austin,Com Chi Food to Go,,false,https://www.yelp.com/biz/com-chi-food-to-go-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,chinese,Chinese,3,30.3779125213623,-97.6861953735352,,10901 N Lamar Blvd,Ste C311,,Austin,78753,US,TX,10901 N Lamar Blvd,Ste C311,"Austin, TX 78753",+15124919757,(512) 491-9757,142.99102662084732,,,,,,,
