id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2,transactions/0,transactions/1
M39ntxmCL5hzfqkPN1BEcQ,antojitos-guatemala-austin-3,Antojitos Guatemala,https://s3-media4.fl.yelpcdn.com/bphoto/_PXeJVCldQZi5bfT9H7cPQ/o.jpg,false,https://www.yelp.com/biz/antojitos-guatemala-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,4,foodtrucks,Food Trucks,tacos,Tacos,,,5,30.257682800293,-97.72705078125,,1621 E Cesar Chavez St,,,Austin,78702,US,TX,1621 E Cesar Chavez St,"Austin, TX 78702",+15123128927,(512) 312-8927,464.5885147903078,,,
g8RrcJp2GwgslYh9v8-LMA,bua-loy-thai-cuisine-austin-3,Bua Loy Thai Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/NVDI68Q_hu9JBVfntf-FRA/o.jpg,false,https://www.yelp.com/biz/bua-loy-thai-cuisine-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,14,foodtrucks,Food Trucks,thai,Thai,,,3.5,30.263926,-97.729894,$$,1211 E 6th St,,,Austin,78702,US,TX,1211 E 6th St,"Austin, TX 78702",+15129711547,(512) 971-1547,517.714721332552,,,
Lp8-VWNMTMCebkfKj1I4yA,conundrums-austin,Conundrums,https://s3-media1.fl.yelpcdn.com/bphoto/v_bjYqZceRchywoMzc5jKw/o.jpg,false,https://www.yelp.com/biz/conundrums-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,7,breakfast_brunch,Breakfast & Brunch,foodtrucks,Food Trucks,catering,Caterers,4.5,30.264296,-97.727911,$$,1403 E 7th St,,,Austin,78702,US,TX,1403 E 7th St,"Austin, TX 78702",+15126899201,(512) 689-9201,633.3234017508526,,,
x4kl3G0L-nGaDeCD013GnA,wright-bros-brew-and-brew-austin,Wright Bros Brew & Brew,https://s3-media2.fl.yelpcdn.com/bphoto/8Xt6LvP6VNGCJTKOpjnTZg/o.jpg,false,https://www.yelp.com/biz/wright-bros-brew-and-brew-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,217,bars,Bars,cafes,Cafes,,,4,30.2642705386769,-97.7330322191119,$,500 San Marcos St,Ste 105,,Austin,78702,US,TX,500 San Marcos St,Ste 105,+15124930963,(512) 493-0963,559.2843418038775,"Austin, TX 78702",,
UnFJuVc3TJT5mwRJ1uUYcw,baja-st-tacos-and-coastal-cuisine-austin-2,Baja St Tacos & Coastal Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/uCF_TQnqNNgjhpMKQp2M7A/o.jpg,false,https://www.yelp.com/biz/baja-st-tacos-and-coastal-cuisine-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,27,japanese,Japanese,mexican,Mexican,foodtrucks,Food Trucks,5,30.2642856452402,-97.7279278228155,$,1403 E 7th St,,,Austin,78702,US,TX,1403 E 7th St,"Austin, TX 78702",+15127437828,(512) 743-7828,631.4955379376403,,pickup,delivery
FaAVRTQGsb1wuONLHlE1_w,mission-dogs-austin,Mission Dogs,https://s3-media2.fl.yelpcdn.com/bphoto/FfX8Vgz93pEIb4lSKAB2VA/o.jpg,false,https://www.yelp.com/biz/mission-dogs-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,25,foodtrucks,Food Trucks,hotdog,Hot Dogs,,,4.5,30.2635962,-97.7276235,$,1412 E 6th St,,,Austin,78702,US,TX,1412 E 6th St,"Austin, TX 78702",,,585.1552660472611,,,
NVEQlFCvZpdB5mMuYfE3qg,fraiche-mobile-kitchen-austin,Fraiche Mobile Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/nGn66xd5GPPxm0PVmVHmcA/o.jpg,false,https://www.yelp.com/biz/fraiche-mobile-kitchen-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,10,foodtrucks,Food Trucks,french,French,,,4,30.2640899,-97.730161,$$,1209 East 6th St,,,Austin,77401,US,TX,1209 East 6th St,"Austin, TX 77401",,,529.0307364293849,,,
sPr8yu7F1PVFDiPDhTb1fg,bomb-tacos-austin-4,Bomb Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/WS_6t3bA9-2TjfJyABau3g/o.jpg,false,https://www.yelp.com/biz/bomb-tacos-austin-4?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,45,mexican,Mexican,foodtrucks,Food Trucks,,,3.5,30.2625294,-97.7270584,$,500 Comal St,,The White Horse,Austin,78702,US,TX,500 Comal St,The White Horse,+15125536756,(512) 553-6756,539.7141644665193,"Austin, TX 78702",,
n8kBconpaJJg32tGrLHeFg,angies-mexican-restaurant-austin-2,Angie's Mexican Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/9p04tzyJD0YSHUepV8iepA/o.jpg,false,https://www.yelp.com/biz/angies-mexican-restaurant-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,167,mexican,Mexican,,,,,3,30.2645397186279,-97.7286758422852,$,1307 E 7th St,,,Austin,78702,US,TX,1307 E 7th St,"Austin, TX 78702",+15124765413,(512) 476-5413,606.752136573756,,,
JTHCvKwPazLExfDs_LGl1g,los-huaraches-austin,Los Huaraches,https://s3-media1.fl.yelpcdn.com/bphoto/SKB_T_Nf-H7ifCKGe3vfww/o.jpg,false,https://www.yelp.com/biz/los-huaraches-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,20,mexican,Mexican,,,,,3.5,30.25831,-97.72757,$,1628 E Cesar Chavez St,,,Austin,78702,US,TX,1628 E Cesar Chavez St,"Austin, TX 78702",+15125241490,(512) 524-1490,388.74370106824364,,,
ZjExuvrL3CUicY2F9xhzSA,little-plaza-taco-truck-austin,Little Plaza Taco Truck,https://s3-media2.fl.yelpcdn.com/bphoto/TnbERAuI3QaADdUhfluD9Q/o.jpg,false,https://www.yelp.com/biz/little-plaza-taco-truck-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,8,foodtrucks,Food Trucks,mexican,Mexican,,,4.5,30.2640319233586,-97.7269690856338,$,1501 E 6th St,,,Austin,78704,US,TX,1501 E 6th St,"Austin, TX 78704",+17373330967,(737) 333-0967,662.3204813960773,,,
Ash6uAbc8QJQ-HdworTaLg,thames-ironworks-shipwrecks-and-sausages-austin-3,Thames Ironworks Shipwrecks and Sausages,https://s3-media2.fl.yelpcdn.com/bphoto/zVLS2uc4e7MorwbOxr1-4w/o.jpg,false,https://www.yelp.com/biz/thames-ironworks-shipwrecks-and-sausages-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,food,Food,foodstands,Food Stands,,,5,30.26344,-97.72742,$,1500 E 6th St,,At Volstead Lounge,Austin,78702,US,TX,1500 E 6th St,At Volstead Lounge,,,593.742345342039,"Austin, TX 78702",,
OCOlKphovL9Q6w6hOBYZDg,hotel-vegas-concession-stand-austin,Hotel Vegas Concession Stand,,false,https://www.yelp.com/biz/hotel-vegas-concession-stand-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,2,tradamerican,American (Traditional),foodtrucks,Food Trucks,,,5,30.26344,-97.72742,,1500 E 6th St,,,Austin,78702,US,TX,1500 E 6th St,"Austin, TX 78702",+16466349973,(646) 634-9973,593.742345342039,,,
ZKHn-9FnB62w2iCimR3NQQ,the-north-door-austin,The North Door,https://s3-media4.fl.yelpcdn.com/bphoto/DJW4kBJxg-N_5TdLvayz0w/o.jpg,false,https://www.yelp.com/biz/the-north-door-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,75,venues,Venues & Event Spaces,pizza,Pizza,musicvenues,Music Venues,3.5,30.2645699,-97.7339388,$,502 Brushy St,,,Austin,78702,US,TX,502 Brushy St,"Austin, TX 78702",+15127109765,(512) 710-9765,620.414653186213,,,
RYVOkNGTRVXWPMXEGsFwYg,angies-mexican-restaurant-austin-3,Angies Mexican Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/BzJoFVi9Oqw0WujBCP_UaA/o.jpg,false,https://www.yelp.com/biz/angies-mexican-restaurant-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,mexican,Mexican,,,,,1,30.2610969543457,-97.7342071533203,,105 San Marcos St,,,Austin,78702,US,TX,105 San Marcos St,"Austin, TX 78702",,,328.6391382997465,,,
9H0dtrIBFD2PAcS90367Xg,takoba-austin,Takoba,https://s3-media1.fl.yelpcdn.com/bphoto/MtAfwQaBBefKyJhm0Uno-Q/o.jpg,false,https://www.yelp.com/biz/takoba-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,723,mexican,Mexican,bars,Bars,,,3.5,30.26413,-97.72737,$$,1411 E 7th St,,,Austin,78702,US,TX,1411 E 7th St,"Austin, TX 78702",+15126284466,(512) 628-4466,646.1356723894709,,pickup,
