id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance,transactions/0,transactions/1
23am0wy8T8lCta44bVX43w,lua-brazil-austin,Lua Brazil,https://s3-media4.fl.yelpcdn.com/bphoto/73TQ0AqC3C5nKivQJ4n9KA/o.jpg,false,https://www.yelp.com/biz/lua-brazil-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,7,brazilian,Brazilian,,,,,4.5,30.25401,-97.71517,,2600 E Cesar Chavez St,,,Austin,78702,US,TX,2600 E Cesar Chavez St,"Austin, TX 78702",,+15128506677,(512) 850-6677,168.1177353354553,,
1MIv9SKawzSitfJ0DayH6Q,hummus-among-us-austin,Hummus Among Us,https://s3-media3.fl.yelpcdn.com/bphoto/CCr2EnvQx92oOHAETkjBjg/o.jpg,false,https://www.yelp.com/biz/hummus-among-us-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,41,foodtrucks,Food Trucks,mediterranean,Mediterranean,,,5,30.2553368554128,-97.7202496549831,$$,2207 E Cesar Chavez,,,Austin,78702,US,TX,2207 E Cesar Chavez,"Austin, TX 78702",,+13472847611,(347) 284-7611,339.3896168283799,,
QdSnGV8QJ0XLB5A42z5HWQ,thai-licious-austin,Thai-Licious,https://s3-media2.fl.yelpcdn.com/bphoto/e9lhl1nspn2fcQacR5gPrA/o.jpg,false,https://www.yelp.com/biz/thai-licious-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,10,foodtrucks,Food Trucks,thai,Thai,,,4,30.25323,-97.71297,$,2730 E Cesar Chavez St,,,Austin,78702,US,TX,2730 E Cesar Chavez St,"Austin, TX 78702",,+15129712743,(512) 971-2743,400.08257902007625,pickup,delivery
gxvhDPD-7eUzWTrPN9tBgQ,la-1-cajun-and-creole-austin,La 1 Cajun and Creole,https://s3-media2.fl.yelpcdn.com/bphoto/DvOvcbwRv2txAI9Q2wXrBA/o.jpg,false,https://www.yelp.com/biz/la-1-cajun-and-creole-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,27,foodtrucks,Food Trucks,cajun,Cajun/Creole,,,5,30.2586067433974,-97.7146520465612,$,515 Pedernales St,,,Austin,78702,US,TX,515 Pedernales St,"Austin, TX 78702",,+15127885380,(512) 788-5380,516.2866588991366,,
YyLFxPNMEe2OTXBxDFzCSw,el-coqui-austin-2,El Coqui,https://s3-media1.fl.yelpcdn.com/bphoto/Dlgt-xKWPqXEudWm8W-92Q/o.jpg,false,https://www.yelp.com/biz/el-coqui-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,27,foodtrucks,Food Trucks,puertorican,Puerto Rican,,,5,30.25323,-97.71297,$,2730 E Cesar Chavez St,,,Austin,78702,US,TX,2730 E Cesar Chavez St,"Austin, TX 78702",,+15122871841,(512) 287-1841,400.08257902007625,,
J-S8U3hSuuZSa1a0xq2kJg,la-holly-austin-2,La Holly,https://s3-media4.fl.yelpcdn.com/bphoto/-HK1_TJ7TmyfkifFzETmYw/o.jpg,false,https://www.yelp.com/biz/la-holly-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,tacos,Tacos,divebars,Dive Bars,,,5,30.2591865899542,-97.7144455556234,$$,2500 E 6th St,,,Austin,78702,US,TX,2500 E 6th St,"Austin, TX 78702",,,,583.2291093290405,,
MiRr3aHDWpryg7YZC30hkg,tacos-guerrero-austin,Tacos Guerrero,https://s3-media3.fl.yelpcdn.com/bphoto/8zOiH9agDDz_tFUTdNwNuA/o.jpg,false,https://www.yelp.com/biz/tacos-guerrero-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,119,mexican,Mexican,foodtrucks,Food Trucks,breakfast_brunch,Breakfast & Brunch,4.5,30.2526512,-97.7129882,$,96 Pleasant Valley Rd,,,Austin,78702,US,TX,96 Pleasant Valley Rd,"Austin, TX 78702",,+15129392308,(512) 939-2308,421.67213094350717,,
XqNgfxyXP3kz8t3iG8ehZA,the-vegan-nom-austin,The Vegan Nom,https://s3-media1.fl.yelpcdn.com/bphoto/xrwT3UWo_-GHx2l2T24LNQ/o.jpg,false,https://www.yelp.com/biz/the-vegan-nom-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,328,vegan,Vegan,foodtrucks,Food Trucks,,,4.5,30.255168,-97.718217,$,2324 E Cesar Chavez,,,Austin,78702,US,TX,2324 E Cesar Chavez,"Austin, TX 78702",,+15124973147,(512) 497-3147,154.134795581939,,
_33gXTh_rPfk_jDYZphP2g,southside-flying-pizza-austin-3,Southside Flying Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/_XnDOxBdhFi4_DUAL-iNHg/o.jpg,false,https://www.yelp.com/biz/southside-flying-pizza-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,83,salad,Salad,pizza,Pizza,gluten_free,Gluten-Free,3.5,30.25358,-97.71387,$$,2702 E Cesar Chavez St,,,Austin,78702,US,TX,2702 E Cesar Chavez St,"Austin, TX 78702",,+15126006962,(512) 600-6962,301.33697051215574,,
WyX5i_cncgrKwIyEFw0iYA,taqueria-san-luis-austin,Taqueria San Luis,https://s3-media1.fl.yelpcdn.com/bphoto/qAGXHsA3kbAozQ4ly5DJEQ/o.jpg,false,https://www.yelp.com/biz/taqueria-san-luis-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,11,foodtrucks,Food Trucks,mexican,Mexican,,,4.5,30.253317,-97.712918,$,2730 E Cesar Chavez St,,,Austin,78702,US,TX,2730 E Cesar Chavez St,"Austin, TX 78702",,+15128104444,(512) 810-4444,399.78386863587104,,
lCPL4WpRSw49k8R5Y5USKA,la-cathedral-del-marisco-austin,La Cathedral Del Marisco,,false,https://www.yelp.com/biz/la-cathedral-del-marisco-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,2,mexican,Mexican,,,,,3.5,30.253120401756,-97.71331900861,,2711 E Cesar Chavez St,,,Austin,78702,US,TX,2711 E Cesar Chavez St,"Austin, TX 78702",,+15124767878,(512) 476-7878,352.2349807563905,,
yZ0Ni4NfAFpCX2aKyyyQFw,eastside-pita-austin-2,Eastside Pita,https://s3-media4.fl.yelpcdn.com/bphoto/p2V5zk-FxXnZaNrtXKn3AA/o.jpg,false,https://www.yelp.com/biz/eastside-pita-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,4,falafel,Falafel,foodtrucks,Food Trucks,,,5,30.25535,-97.72023,,2207 E Cesar Chavez St,,,Austin,78702,US,TX,2207 E Cesar Chavez St,"Austin, TX 78702",,+17373465383,(737) 346-5383,337.2996156769752,,
KsPnpdIOWUZrSbOhnkw24w,juiceland-austin-23,JuiceLand,https://s3-media2.fl.yelpcdn.com/bphoto/vAeymr0_SmwUIpn88gmdaA/o.jpg,false,https://www.yelp.com/biz/juiceland-austin-23?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,56,juicebars,Juice Bars & Smoothies,vegan,Vegan,vegetarian,Vegetarian,4.5,30.25375,-97.71533,$$,2601 Cesar Chavez,,,Austin,78702,US,TX,2601 Cesar Chavez,"Austin, TX 78702",,+15123518439,(512) 351-8439,157.20085743903937,,
hwjVIkMGkTo-CBpl4RLgvg,head-hanchos-grill-austin,Head Hanchos Grill,https://s3-media4.fl.yelpcdn.com/bphoto/q7TPB0D0i1bC4RL6vdoWVw/o.jpg,false,https://www.yelp.com/biz/head-hanchos-grill-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,6,tradamerican,American (Traditional),foodstands,Food Stands,,,4,30.2552738189697,-97.7200927734375,$,2209 E Cesar Chavez St,,,Austin,78702,US,TX,2209 E Cesar Chavez St,"Austin, TX 78702",,+15125016862,(512) 501-6862,322.61210967283415,,
Laqw7n828MgjBdOoly5TpQ,quick-fix-cuisine-austin-2,Quick Fix Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/_S5j4OXLMPobD3DiC7UhoQ/o.jpg,false,https://www.yelp.com/biz/quick-fix-cuisine-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,34,foodtrucks,Food Trucks,juicebars,Juice Bars & Smoothies,vegan,Vegan,5,30.25323,-97.71297,$$,2730 E Cesar Chavez St,,,Austin,78702,US,TX,2730 E Cesar Chavez St,"Austin, TX 78702",,+12106062057,(210) 606-2057,400.08257902007625,pickup,delivery
CzLa5u99PglWXCebUtzhAQ,shackelfords-grill-and-wings-austin,Shackelford's Grill and Wings,https://s3-media4.fl.yelpcdn.com/bphoto/0xCLAWBBM50mJg49R1nVpw/o.jpg,false,https://www.yelp.com/biz/shackelfords-grill-and-wings-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,2,foodtrucks,Food Trucks,newamerican,American (New),,,1,30.2532862485181,-97.713029515705,,2730 E Cesar Chavez St,,,Austin,78702,US,TX,2730 E Cesar Chavez St,"Austin, TX 78702",,+15126502765,(512) 650-2765,390.62715389483026,,
Nx38FDvoGOUVcS7YIPh4aQ,bomb-tacos-austin-2,Bomb Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/YhnijPFLCFXgrT4Dt6vE9Q/o.jpg,false,https://www.yelp.com/biz/bomb-tacos-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,22,mexican,Mexican,foodtrucks,Food Trucks,,,3.5,30.2554344351569,-97.717981338501,$,96 Rainey St,,Bar 96,Austin,78701,US,TX,96 Rainey St,Bar 96,"Austin, TX 78701",+15124336604,(512) 433-6604,156.64763879853473,,
xfp_XmXTiwqoZCMtxDfzxg,the-bakers-rack-austin,The Bakers Rack,https://s3-media1.fl.yelpcdn.com/bphoto/UIsVc80CXRIGoRmUUTpQPA/o.jpg,false,https://www.yelp.com/biz/the-bakers-rack-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,foodtrucks,Food Trucks,mexican,Mexican,,,3.5,30.2572036,-97.7133125,$,2607 E 5th St,,,Austin,78702,US,TX,2607 E 5th St,"Austin, TX 78702",,+15127850949,(512) 785-0949,465.1455424182356,,
KaAA_RnJ8ydvpAv5tUYVRA,e-a-t-east-austin-trailer-park-and-eatery-austin,E.A.T. East Austin Trailer Park & Eatery,https://s3-media1.fl.yelpcdn.com/bphoto/V7zjodsshcANomVBkwLK_A/o.jpg,false,https://www.yelp.com/biz/e-a-t-east-austin-trailer-park-and-eatery-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,foodstands,Food Stands,,,,,1,30.25502,-97.71773,,2326 E Cesar Chavez St,,,Austin,78702,US,TX,2326 E Cesar Chavez St,"Austin, TX 78702",,,,150.48625182560357,,
