id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,transactions/0,transactions/1,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance
HgZMdXT7iPcd69MjiyZRJw,pupuseria-usuluteca-austin,Pupuseria Usuluteca,https://s3-media2.fl.yelpcdn.com/bphoto/Qf2NFi3zkybdTTaUEDsXzg/o.jpg,false,https://www.yelp.com/biz/pupuseria-usuluteca-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,4,salvadoran,Salvadoran,,,,,4.5,30.3621699594814,-97.6977776677063,,,,9306 N Lamar Blvd,,,Austin,78753,US,TX,9306 N Lamar Blvd,"Austin, TX 78753",,+15126450068,(512) 645-0068,631.0776917918029
k8zC6EKsEA_zPMERW4dnhQ,maudies-north-lamar-austin-2,Maudie's North Lamar,https://s3-media2.fl.yelpcdn.com/bphoto/ZtF2CvONJoAH0umX7dy1bw/o.jpg,false,https://www.yelp.com/biz/maudies-north-lamar-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,265,tex-mex,Tex-Mex,diners,Diners,tacos,Tacos,3.5,30.3711140788907,-97.6914373913583,,,$,10205 N Lamar,,,Austin,78753,US,TX,10205 N Lamar,"Austin, TX 78753",,+15128320900,(512) 832-0900,536.5915603286544
AfKr3dRTKoPdXZIuvFhg3w,cicis-austin,Cicis,https://s3-media2.fl.yelpcdn.com/bphoto/QjZywEE_VTrPhg96FL8WgA/o.jpg,false,https://www.yelp.com/biz/cicis-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,19,pizza,Pizza,,,,,4,30.3657174635612,-97.6946935937226,pickup,,$,9717 N Lamar Blvd,Ste B,,Austin,78753,US,TX,9717 N Lamar Blvd,Ste B,"Austin, TX 78753",+15128738800,(512) 873-8800,160.36777064353325
uS_n2zFD91QgBwz7BP0U0Q,little-tokyo-austin-2,Little Tokyo,,false,https://www.yelp.com/biz/little-tokyo-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,japanese,Japanese,,,,,1,30.36407,-97.69505,,,$$$$,9515 N Lamar Blvd,Ste 230,,Austin,78753,US,TX,9515 N Lamar Blvd,Ste 230,"Austin, TX 78753",+15123397676,(512) 339-7676,318.45788822432786
KErqwvQsCjOhHbaYs_0N-g,taquerias-arandinas-austin-3,Taquerias Arandinas,https://s3-media3.fl.yelpcdn.com/bphoto/6ovRyXepC3Xj6UGmvIteEg/o.jpg,false,https://www.yelp.com/biz/taquerias-arandinas-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,24,mexican,Mexican,,,,,3,30.365682,-97.696682,,,$,9616 N Lamar Blvd,Ste 195,,Austin,78753,US,TX,9616 N Lamar Blvd,Ste 195,"Austin, TX 78753",+15124900091,(512) 490-0091,255.49642387948586
2nhlPok44wss9C_nGWKEiw,tempura-halal-indo-pak-grill-austin-austin,Tempura Halal Indo- Pak Grill Austin,https://s3-media4.fl.yelpcdn.com/bphoto/HpjhyDxU5Atp0LAWQLXfOw/o.jpg,false,https://www.yelp.com/biz/tempura-halal-indo-pak-grill-austin-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,53,indpak,Indian,halal,Halal,pakistani,Pakistani,3,30.36266,-97.6980899,delivery,pickup,$$,9310 N Lamar Blvd,,,Austin,78753,US,TX,9310 N Lamar Blvd,"Austin, TX 78753",,+15127193700,(512) 719-3700,631.3678818336741
T2z5p65IvHZzXjzYHUUlnQ,hunan-chinese-restaurant-austin-2,Hunan Chinese Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/7p8bmgEfRHQ6EpSbQlWRCw/o.jpg,false,https://www.yelp.com/biz/hunan-chinese-restaurant-austin-2?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,60,chinese,Chinese,,,,,3,30.3618917,-97.6978606,,,$$,9306 N Lamar Blvd,,,Austin,78753,US,TX,9306 N Lamar Blvd,"Austin, TX 78753",,+15128372700,(512) 837-2700,675.1950289813147
CKfDAKaYis5EoAaKGUA8cw,dominos-pizza-austin-5,Domino's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/DDBxuvgHiZSQogRwPqwsoA/o.jpg,false,https://www.yelp.com/biz/dominos-pizza-austin-5?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,20,pizza,Pizza,chicken_wings,Chicken Wings,sandwiches,Sandwiches,2.5,30.3665084838867,-97.696533203125,,,$,9616 N Lamar Blvd,,,Austin,78753,US,TX,9616 N Lamar Blvd,"Austin, TX 78753",,+15128377500,(512) 837-7500,155.85200565795517
2qPkAi8JPdoKUer-2IQvOw,little-caesars-austin,Little Caesars,https://s3-media2.fl.yelpcdn.com/bphoto/Wojl6rfzfi2UoMW8cDdqKQ/o.jpg,false,https://www.yelp.com/biz/little-caesars-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,14,pizza,Pizza,,,,,1.5,30.36311,-97.69593,,,$,9411 N Lamar Blvd,,,Austin,78753,US,TX,9411 N Lamar Blvd,"Austin, TX 78753",,+15128219322,(512) 821-9322,455.5907483441695
kd9SjUw_TWLbD1jqUcBajA,golden-chick-austin-8,Golden Chick,https://s3-media2.fl.yelpcdn.com/bphoto/eoOtfOTvT4dykvcRTJK80Q/o.jpg,false,https://www.yelp.com/biz/golden-chick-austin-8?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,11,hotdogs,Fast Food,,,,,3.5,30.3656601,-97.6959372,,,$,9600 N Lamar Blvd,,,Austin,78753,US,TX,9600 N Lamar Blvd,"Austin, TX 78753",,+15128733336,(512) 873-3336,207.8936576528485
Ho9rjlAoEeJQEv4jGnjIbQ,popeyes-louisiana-kitchen-austin-3,Popeyes Louisiana Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/5EKb-YwjuS5B-HTYiJOBYw/o.jpg,false,https://www.yelp.com/biz/popeyes-louisiana-kitchen-austin-3?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,50,hotdogs,Fast Food,chicken_wings,Chicken Wings,,,2,30.36778,-97.69352,,,$,9815 N Lamar Blvd,,,Austin,78753,US,TX,9815 N Lamar Blvd,"Austin, TX 78753",,+15128373612,(512) 837-3612,121.29844741651057
apJ8mXUpy4LWeMpI3--fFQ,express-teriyaki-and-grill-austin,Express Teriyaki & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/y4NwH4z9TVWSkgMWq-K7cA/o.jpg,false,https://www.yelp.com/biz/express-teriyaki-and-grill-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,3,japanese,Japanese,,,,,1.5,30.3665084838867,-97.696533203125,,,$,9616 N Lamar Blvd,,,Austin,78753,US,TX,9616 N Lamar Blvd,"Austin, TX 78753",,+15128211089,(512) 821-1089,196.50415595129678
V-HlDZoVZU-wHorfhf8oGg,whataburger-austin-13,Whataburger,https://s3-media3.fl.yelpcdn.com/bphoto/j4Q7zVSpaJ8LZVPEvwn_rw/o.jpg,false,https://www.yelp.com/biz/whataburger-austin-13?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,13,hotdogs,Fast Food,burgers,Burgers,,,2.5,30.3653079252645,-97.6962306388532,,,$,9516 N Lamar Blvd,,,Austin,78753,US,TX,9516 N Lamar Blvd,"Austin, TX 78753",,+15128368348,(512) 836-8348,256.1172841210128
NSXnHpPI6d7H3fk_6_4b7w,taco-bell-austin-31,Taco Bell,https://s3-media3.fl.yelpcdn.com/bphoto/MprmmuCQIkoOr0aq3zJyfQ/o.jpg,false,https://www.yelp.com/biz/taco-bell-austin-31?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,8,hotdogs,Fast Food,mexican,Mexican,tex-mex,Tex-Mex,2.5,30.364887,-97.696123,,,$,9504 N Lamar,,,Austin,78753,US,TX,9504 N Lamar,"Austin, TX 78753",,+15128377420,(512) 837-7420,289.85023126980445
efooezQft8I_3mNjwrQpDw,pollo-borracho-austin,Pollo Borracho,,false,https://www.yelp.com/biz/pollo-borracho-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,1,mexican,Mexican,,,,,2,30.3660045646855,-97.6946155134698,,,,9717 N Lamar Blvd,Ste B7,,Austin,78753,US,TX,9717 N Lamar Blvd,Ste B7,"Austin, TX 78753",+15129977300,(512) 997-7300,128.39235678394002
lKcOQBU9VgWWB2nc4qHWcA,la-parrilla-no-1-austin,La Parrilla No 1,,false,https://www.yelp.com/biz/la-parrilla-no-1-austin?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,5,tex-mex,Tex-Mex,,,,,4,30.36407,-97.69505,,,,9515 N Lamar Blvd,Ste 102,,Austin,78753,US,TX,9515 N Lamar Blvd,Ste 102,"Austin, TX 78753",+15124919414,(512) 491-9414,392.9457659614066
9zQvhQsRUrzYtjoijsSVEg,mcdonalds-austin-59,McDonald's,https://s3-media2.fl.yelpcdn.com/bphoto/rKkwBKmXYoji8gwVxVBUDg/o.jpg,false,https://www.yelp.com/biz/mcdonalds-austin-59?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,16,hotdogs,Fast Food,burgers,Burgers,coffee,Coffee & Tea,2.5,30.3641195438364,-97.6969577613409,,,$,9422 N Lamar Blvd,,,Austin,78753,US,TX,9422 N Lamar Blvd,"Austin, TX 78753",,+15128372772,(512) 837-2772,404.4589319176071
dXVHhocSRZpn9EWHFPHzfg,little-caesars-pizza-austin-12,Little Caesars Pizza,,false,https://www.yelp.com/biz/little-caesars-pizza-austin-12?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,2,pizza,Pizza,,,,,1,30.3640709,-97.6950531,,,,9515 N Lamar Blvd,Ste 156,,Austin,78753,US,TX,9515 N Lamar Blvd,Ste 156,"Austin, TX 78753",+15128359811,(512) 835-9811,312.658248786068
67YyY0CYMstt9SDUtvqHRQ,sonic-drive-in-austin-49,Sonic Drive-In,https://s3-media1.fl.yelpcdn.com/bphoto/ED96UffrXbxM8TyIdlwqWg/o.jpg,false,https://www.yelp.com/biz/sonic-drive-in-austin-49?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,9,burgers,Burgers,icecream,Ice Cream & Frozen Yogurt,hotdogs,Fast Food,2,30.3626077997107,-97.6966752012233,,,$,9325 N Lamar,,,Austin,78758,US,TX,9325 N Lamar,"Austin, TX 78758",,+15128373476,(512) 837-3476,542.3636602804318
SZjhYxy6qHWtNY6V_0K13g,subway-austin-28,Subway,https://s3-media1.fl.yelpcdn.com/bphoto/Dqse0NLiMvHTFmKOHnijoQ/o.jpg,false,https://www.yelp.com/biz/subway-austin-28?adjust_creative=vBM0fCwVkc7ZN4864m4apw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vBM0fCwVkc7ZN4864m4apw,4,sandwiches,Sandwiches,hotdogs,Fast Food,,,2.5,30.3618917,-97.6978606,,,$,9306 N Lamar Blvd,,,Austin,78753,US,TX,9306 N Lamar Blvd,"Austin, TX 78753",,+15128362322,(512) 836-2322,675.1950289813147
